"","TRANSACTION_DESCRIPTION","TRANSACTION_DATE"
"135","Ashley Joens was drafted by the Dallas Wings.","2023-04-10"
"136","Elena Tsineke was drafted by the Washington Mystics.","2023-04-10"
"137","Dulcy Fankam Mendjiadeu was drafted by the Seattle Storm.","2023-04-10"
"138","Alexis Morris was drafted by the Connecticut Sun.","2023-04-10"
"139","Kayana Traylor was drafted by the Chicago Sky.","2023-04-10"
"140","Brea Beal was drafted by the Minnesota Lynx.","2023-04-10"
"141","Victaria Saxton was drafted by the Indiana Fever.","2023-04-10"
"142","Monika Czinano was drafted by the Los Angeles Sparks.","2023-04-10"
"143","Destiny Harden was drafted by the Phoenix Mercury.","2023-04-10"
"144","Taylor Soule was drafted by the Minnesota Lynx.","2023-04-10"
"145","Kadi Sissoko was drafted by the Phoenix Mercury.","2023-04-10"
"146","Okako Adika was drafted by the New York Liberty.","2023-04-10"
"147","Paige Robinson was drafted by the Dallas Wings.","2023-04-10"
"148","Txell Alarcón was drafted by the Washington Mystics.","2023-04-10"
"149","Jade Loville was drafted by the Seattle Storm.","2023-04-10"
"150","Ashten Prechtel was drafted by the Connecticut Sun.","2023-04-10"
"151","Kseniya Malashka was drafted by the Chicago Sky.","2023-04-10"
"152","Brittany Davis was drafted by the Las Vegas Aces.","2023-04-10"
"153","The exclusive negotiating rights of Stephanie Soares were traded from the Washington Mystics to the Dallas Wings.","2023-04-10"
"154","Khayla Pointer was waived by the Indiana Fever.","2023-04-04"
"155","Kylee Shook signed a Training Camp Contract with the Phoenix Mercury.","2023-03-24"
"156","Stephanie Mawuli signed a Rookie Scale Contract with the New York Liberty.","2023-03-21"
"157","Morgan Green signed a Rookie Scale Contract with the New York Liberty.","2023-03-21"
"158","Chennedy Carter was waived by the Los Angeles Sparks.","2023-03-17"
"159","Li Meng signed a Rookie Scale Contract with the Washington Mystics.","2023-03-13"
"160","Cheyenne Parker signed a Contract Amendment - Time-Off Bonus with the Atlanta Dream.","2023-03-09"
"161","Cheyenne Parker signed a Contract Extension with the Atlanta Dream.","2023-03-09"
"162","Lorela Cubaj signed a Training Camp Contract with the Atlanta Dream.","2023-03-08"
"163","Allisha Gray signed a Contract Amendment - Time-Off Bonus with the Atlanta Dream.","2023-03-07"
"164","Allisha Gray signed a Contract Extension with the Atlanta Dream.","2023-03-07"
"165","Destiny Slocum signed a Training Camp Contract with the Phoenix Mercury.","2023-03-02"
"166","Mikayla Pivec signed a Training Camp Contract with the Atlanta Dream.","2023-03-02"
"167","Marine Johannès signed a Training Camp Contract with the New York Liberty.","2023-03-02"
"168","Stephanie Talbot  is out for the 2023 season due to a Non-WNBA Injury.","2023-02-28"
"169","Kitija Laksa signed a Contract with the Dallas Wings.","2023-02-28"
"170","Nyara Sabally signed a Rookie Scale Contract with the New York Liberty.","2023-02-28"
"171","Sug Sutton signed a Training Camp Contract with the Phoenix Mercury.","2023-02-28"
"172","The Atlanta Dream exercised their option with Aari McDonald.","2023-02-24"
"173","Nneka Ogwumike signed a Contract with the Los Angeles Sparks.","2023-02-24"
"174","Robyn Parks signed a Rookie Scale Contract with the Chicago Sky.","2023-02-24"
"175","Feyonda Fitzgerald signed a Training Camp Contract with the Chicago Sky.","2023-02-24"
"176","Jasmine Walker signed a Contract with the Seattle Storm.","2023-02-24"
"177","The Dallas Wings exercised their option with Awak Kuier.","2023-02-22"
"178","Ivana Dojkić signed a Rookie Scale Contract with the Seattle Storm.","2023-02-22"
"179","Chiney Ogwumike signed a Contract with the Los Angeles Sparks.","2023-02-22"
"180","Kristine Anigwe was awarded on waivers to the Chicago Sky.","2023-02-21"
"181","Karlie Samuelson signed a Training Camp Contract with the Los Angeles Sparks.","2023-02-21"
"182","Reshanda Gray signed a Training Camp Contract with the Los Angeles Sparks.","2023-02-21"
"183","Beatrice Mompremier signed a Training Camp Contract with the Atlanta Dream.","2023-02-21"
"184","Joyner Holmes was waived by the Connecticut Sun.","2023-02-21"
"185","Jade Melbourne signed a Rookie Scale Contract with the Seattle Storm.","2023-02-20"
"186","Yang Liwei signed a Rookie Scale Contract with the Los Angeles Sparks.","2023-02-19"
"187","Rachel Banham signed a Training Camp Contract with the Minnesota Lynx.","2023-02-18"
"188","Nirra Fields signed a Training Camp Contract with the Connecticut Sun.","2023-02-17"
"189","Xu Han signed a Training Camp Contract with the New York Liberty.","2023-02-17"
"190","Diana Taurasi signed a Contract with the Phoenix Mercury.","2023-02-17"
"191","Brittney Griner signed a Contract with the Phoenix Mercury.","2023-02-17"
"192","Shey Peddy signed a Training Camp Contract with the Phoenix Mercury.","2023-02-17"
"193","Anneli Maley signed a Training Camp Contract with the Chicago Sky.","2023-02-16"
"194","Kristine Anigwe was waived by the Connecticut Sun.","2023-02-16"
"195","Tiffany Hayes signed a Contract with the Connecticut Sun.","2023-02-15"
"196","Victoria Macaulay signed a Training Camp Contract with the Connecticut Sun.","2023-02-15"
"197","Bernadett Hatar signed a Training Camp Contract with the Indiana Fever.","2023-02-15"
"198","Jasmine Walker was waived by the Connecticut Sun.","2023-02-15"
"199","Julie Allemand  is out for the 2023 season due to a Personal Decision.","2023-02-14"
"200","Alanna Smith signed a Contract with the Chicago Sky.","2023-02-14"
"201","Brionna Jones signed a Core Contract with the Connecticut Sun.","2023-02-13"
"202","Rebekah Gardner signed a Contract with the Chicago Sky.","2023-02-13"
"203","Moriah Jefferson signed a Contract with the Phoenix Mercury.","2023-02-13"
"204","Iliana Rupert was awarded on waivers to the Atlanta Dream.","2023-02-11"
"205","Marina Mabrey signed a Contract with the Dallas Wings.","2023-02-11"
"206","The exclusive negotiating rights of Leonie Fiebich were traded from the Chicago Sky to the New York Liberty.","2023-02-11"
"207","Michaela Onyenwere was traded from the New York Liberty to the Phoenix Mercury.","2023-02-11"
"208","Diamond DeShields was traded from the Phoenix Mercury to the Dallas Wings.","2023-02-11"
"209","Marina Mabrey was traded from the Dallas Wings to the Chicago Sky.","2023-02-11"
"210","Sika Koné signed a Rookie Scale Contract with the New York Liberty.","2023-02-10"
"211","Kiara Smith signed a Rookie Scale Contract with the Connecticut Sun.","2023-02-10"
"212","The exclusive negotiating rights of Tiffany Hayes were traded from the Atlanta Dream to the Connecticut Sun.","2023-02-09"
"213","Breanna Stewart signed a Contract with the New York Liberty.","2023-02-08"
"214","Courtney Vandersloot signed a Contract with the New York Liberty.","2023-02-08"
"215","Epiphanny Prince signed a Training Camp Contract with the New York Liberty.","2023-02-08"
"216","Theresa Plaisance signed a Contract with the Seattle Storm.","2023-02-08"
"217","Emma Cannon signed a Contract with the Indiana Fever.","2023-02-08"
"218","Jordin Canada signed a Training Camp Contract with the Los Angeles Sparks.","2023-02-08"
"219","Astou Ndour-Fall signed a Contract with the Chicago Sky.","2023-02-08"
"220","Layshia Clarendon signed a Training Camp Contract with the Los Angeles Sparks.","2023-02-07"
"221","Kristine Anigwe signed a Training Camp Contract with the Connecticut Sun.","2023-02-07"
"222","Lauren Cox signed a Training Camp Contract with the Connecticut Sun.","2023-02-07"
"223","Kiah Stokes signed a Contract with the Las Vegas Aces.","2023-02-07"
"224","Amanda Zahui B signed a Training Camp Contract with the Washington Mystics.","2023-02-07"
"225","Stephanie Jones signed a Training Camp Contract with the Washington Mystics.","2023-02-06"
"226","Kaila Charles signed a Training Camp Contract with the Seattle Storm.","2023-02-06"
"227","Arella Guirantes signed a Training Camp Contract with the Seattle Storm.","2023-02-06"
"228","Sydney Colson signed a Training Camp Contract with the Las Vegas Aces.","2023-02-06"
"229","Yvonne Turner signed a Training Camp Contract with the Seattle Storm.","2023-02-06"
"230","Sydney Wiese signed a Training Camp Contract with the Phoenix Mercury.","2023-02-06"
"231","Jennie Simms signed a Training Camp Contract with the Phoenix Mercury.","2023-02-06"
"232","Iliana Rupert was waived by the Las Vegas Aces.","2023-02-06"
"233","Victoria Vivians signed a Contract with the Indiana Fever.","2023-02-05"
"234","The exclusive negotiating rights of Amanda Zahui B were traded from the Las Vegas Aces to the Washington Mystics.","2023-02-05"
"235","Ezi Magbegor signed a Contract with the Seattle Storm.","2023-02-04"
"236","Maya Dodson signed a Training Camp Contract with the Minnesota Lynx.","2023-02-04"
"237","Stephanie Watts signed a Training Camp Contract with the Minnesota Lynx.","2023-02-04"
"238","Kiana Williams signed a Training Camp Contract with the Minnesota Lynx.","2023-02-04"
"239","Isabelle Harrison signed a Contract with the Chicago Sky.","2023-02-04"
"240","Sophie Cunningham signed a Contract with the Phoenix Mercury.","2023-02-03"
"241","Natisha Hiedeman signed a Contract with the Connecticut Sun.","2023-02-03"
"242","Kia Nurse signed a Contract with the Seattle Storm.","2023-02-03"
"243","Azura Stevens signed a Contract with the Los Angeles Sparks.","2023-02-03"
"244","Sami Whitcomb signed a Contract with the Seattle Storm.","2023-02-03"
"245","Monique Billings signed a Contract with the Atlanta Dream.","2023-02-03"
"246","Megan Gustafson signed a Training Camp Contract with the Phoenix Mercury.","2023-02-03"
"247","Tiffany Mitchell signed a Contract with the Minnesota Lynx.","2023-02-03"
"248","Nikolina Milic signed a Contract with the Minnesota Lynx.","2023-02-03"
"249","Damiris Dantas signed a Training Camp Contract with the Minnesota Lynx.","2023-02-03"
"250","Bridget Carleton signed a Contract with the Minnesota Lynx.","2023-02-03"
"251","Lindsay Allen signed a Training Camp Contract with the Minnesota Lynx.","2023-02-03"
"252","Courtney Williams signed a Contract with the Chicago Sky.","2023-02-03"
"253","Mikiah Herbert Harrigan signed a Training Camp Contract with the Connecticut Sun.","2023-02-03"
"254","Crystal Dangerfield signed a Contract with the Dallas Wings.","2023-02-02"
"255","Kalani Brown signed a Training Camp Contract with the Dallas Wings.","2023-02-02"
"256","Alisia Jenkins signed a Training Camp Contract with the Washington Mystics.","2023-02-02"
"257","Tianna Hawkins signed a Training Camp Contract with the Washington Mystics.","2023-02-02"
"258","Khayla Pointer signed a Training Camp Contract with the Indiana Fever.","2023-02-02"
"259","Rennia Davis signed a Training Camp Contract with the Indiana Fever.","2023-02-02"
"260","Maya Caldwell signed a Contract with the Indiana Fever.","2023-02-02"
"261","Sam Thomas signed a Training Camp Contract with the Phoenix Mercury.","2023-02-02"
"262","Elizabeth Williams signed a Contract with the Chicago Sky.","2023-02-02"
"263","Chelsey Perry signed a Training Camp Contract with the Indiana Fever.","2023-02-02"
"264","Bella Alarie  is out for the 2023 season due to a Personal Decision.","2023-02-01"
"265","Candace Parker signed a Contract with the Las Vegas Aces.","2023-02-01"
"266","Alysha Clark signed a Contract with the Las Vegas Aces.","2023-02-01"
"267","Cayla George signed a Contract with the Las Vegas Aces.","2023-02-01"
"268","Courtney Range signed a Training Camp Contract with the Las Vegas Aces.","2023-02-01"
"269","Stephanie Talbot signed a Contract with the Los Angeles Sparks.","2023-02-01"
"270","Brittney Sykes signed a Contract with the Washington Mystics.","2023-02-01"
"271","Lexie Brown signed a Contract with the Los Angeles Sparks.","2023-02-01"
"272","Joyner Holmes signed a Training Camp Contract with the Connecticut Sun.","2023-02-01"
"273","Teaira McCowan signed a Contract with the Dallas Wings.","2023-02-01"
"274","Alexis Peterson signed a Training Camp Contract with the Las Vegas Aces.","2023-02-01"
"275","Nia Coffey signed a Contract with the Atlanta Dream.","2023-02-01"
