"","TRANSACTION_DESCRIPTION","TRANSACTION_DATE"
"719","Kierstan Bell signed a Rookie Scale Contract with the Las Vegas Aces.","2022-04-13"
"720","Lexi Held signed a Training Camp Contract with the Chicago Sky.","2022-04-13"
"721","Faustine Aifuwa signed a Rookie Scale Contract with the Las Vegas Aces.","2022-04-13"
"722","Jasmine Dickey signed a Rookie Scale Contract with the Dallas Wings.","2022-04-13"
"723","Kayla Wells signed a Training Camp Contract with the Chicago Sky.","2022-04-13"
"724","Mya Hollingshed signed a Rookie Scale Contract with the Las Vegas Aces.","2022-04-13"
"725","Maya Dodson signed a Rookie Scale Contract with the Phoenix Mercury.","2022-04-13"
"726","Mael Gilles signed a Training Camp Contract with the Phoenix Mercury.","2022-04-13"
"727","Hannah Sjerven signed a Rookie Scale Contract with the Minnesota Lynx.","2022-04-13"
"728","Kayla Jones signed a Rookie Scale Contract with the Minnesota Lynx.","2022-04-13"
"729","Chloe Bibby signed a Training Camp Contract with the Minnesota Lynx.","2022-04-13"
"730","CeCe Hooks signed a Training Camp Contract with the Minnesota Lynx.","2022-04-13"
"731","Moon Ursin signed a Training Camp Contract with the Minnesota Lynx.","2022-04-13"
"732","Khayla Pointer signed a Rookie Scale Contract with the Las Vegas Aces.","2022-04-13"
"733","Emma Cannon was waived by the Indiana Fever.","2022-04-13"
"734","Aleksa Gulbe signed a Training Camp Contract with the Connecticut Sun.","2022-04-12"
"735","Alexus Dye signed a Training Camp Contract with the Connecticut Sun.","2022-04-12"
"736","Delicia Washington signed a Training Camp Contract with the Connecticut Sun.","2022-04-12"
"737","Sam Thomas signed a Training Camp Contract with the Phoenix Mercury.","2022-04-12"
"738","Vivian Gray signed a Training Camp Contract with the Phoenix Mercury.","2022-04-12"
"739","Que Morrison signed a Training Camp Contract with the Atlanta Dream.","2022-04-12"
"740","Aisha Sheppard signed a Rookie Scale Contract with the Las Vegas Aces.","2022-04-12"
"741","Rhyne Howard was drafted by the Atlanta Dream.","2022-04-11"
"742","NaLyssa Smith was drafted by the Indiana Fever.","2022-04-11"
"743","Shakira Austin was drafted by the Washington Mystics.","2022-04-11"
"744","Emily Engstler was drafted by the Indiana Fever.","2022-04-11"
"745","Nyara Sabally was drafted by the New York Liberty.","2022-04-11"
"746","Lexie Hull was drafted by the Indiana Fever.","2022-04-11"
"747","Veronica Burton was drafted by the Dallas Wings.","2022-04-11"
"748","Mya Hollingshed was drafted by the Las Vegas Aces.","2022-04-11"
"749","Rae Burrell was drafted by the Los Angeles Sparks.","2022-04-11"
"750","Queen Egbo was drafted by the Indiana Fever.","2022-04-11"
"751","Kierstan Bell was drafted by the Las Vegas Aces.","2022-04-11"
"752","Nia Clouden was drafted by the Connecticut Sun.","2022-04-11"
"753","Khayla Pointer was drafted by the Las Vegas Aces.","2022-04-11"
"754","Christyn Williams was drafted by the Washington Mystics.","2022-04-11"
"755","Naz Hillmon was drafted by the Atlanta Dream.","2022-04-11"
"756","Kianna Smith was drafted by the Los Angeles Sparks.","2022-04-11"
"757","Elissa Cunane was drafted by the Seattle Storm.","2022-04-11"
"758","Lorela Cubaj was drafted by the Seattle Storm.","2022-04-11"
"759","Olivia Nelson-Ododa was drafted by the Los Angeles Sparks.","2022-04-11"
"760","Destanni Henderson was drafted by the Indiana Fever.","2022-04-11"
"761","Evina Westbrook was drafted by the Seattle Storm.","2022-04-11"
"762","Kayla Jones was drafted by the Minnesota Lynx.","2022-04-11"
"763","Aisha Sheppard was drafted by the Las Vegas Aces.","2022-04-11"
"764","Jordan Lewis was drafted by the Connecticut Sun.","2022-04-11"
"765","Ameshya Williams-Holliday was drafted by the Indiana Fever.","2022-04-11"
"766","Maya Dodson was drafted by the Phoenix Mercury.","2022-04-11"
"767","Amy Atwell was drafted by the Los Angeles Sparks.","2022-04-11"
"768","Hannah Sjerven was drafted by the Minnesota Lynx.","2022-04-11"
"769","Sika Koné was drafted by the New York Liberty.","2022-04-11"
"770","Jasmine Dickey was drafted by the Dallas Wings.","2022-04-11"
"771","Jazz Bond was drafted by the Dallas Wings.","2022-04-11"
"772","Macee Williams was drafted by the Phoenix Mercury.","2022-04-11"
"773","Jade Melbourne was drafted by the Seattle Storm.","2022-04-11"
"774","Ali Patberg was drafted by the Indiana Fever.","2022-04-11"
"775","Faustine Aifuwa was drafted by the Las Vegas Aces.","2022-04-11"
"776","Kiara Smith was drafted by the Connecticut Sun.","2022-04-11"
"777","Keyona Hayes signed a Training Camp Contract with the Connecticut Sun.","2022-04-11"
"778","The exclusive negotiating rights of Lorela Cubaj were traded from the Seattle Storm to the New York Liberty.","2022-04-11"
"779","Destiny Slocum was waived by the Las Vegas Aces.","2022-04-08"
"780","Bella Alarie  is out for the 2022 season due to a Personal Decision.","2022-04-07"
"781","Li Yueru signed a Rookie Scale Contract with the Chicago Sky.","2022-04-06"
"782","Lexie Brown signed a Training Camp Contract with the Chicago Sky.","2022-03-30"
"783","Lexie Brown was traded from the Chicago Sky to the Los Angeles Sparks.","2022-03-30"
"784","The exclusive negotiating rights of Li Yueru were traded from the Los Angeles Sparks to the Chicago Sky.","2022-03-30"
"785","Asia (AD) Durr was set active.","2022-03-22"
"786","Xu Han was set active.","2022-03-22"
"787","Alysha Clark was set active.","2022-03-22"
"788","Mikiah Herbert Harrigan was set active.","2022-03-22"
"789","Jantel Lavender signed a Training Camp Contract with the Seattle Storm.","2022-03-21"
"790","Bernadett Hatar signed a Training Camp Contract with the Indiana Fever.","2022-03-18"
"791","Jantel Lavender signed a Contract Amendment - Divorce with the Indiana Fever.","2022-03-16"
"792","Jantel Lavender was waived by the Indiana Fever.","2022-03-16"
"793","Jaime Nared signed a Training Camp Contract with the Indiana Fever.","2022-03-15"
"794","Kaela Davis signed a Training Camp Contract with the Chicago Sky.","2022-03-14"
"795","Imani McGee-Stafford signed a Training Camp Contract with the Chicago Sky.","2022-03-14"
"796","Anneli Maley signed a Training Camp Contract with the Chicago Sky.","2022-03-11"
"797","Kristine Anigwe signed a Training Camp Contract with the Phoenix Mercury.","2022-03-10"
"798","Crystal Bradford was waived by the Chicago Sky.","2022-03-09"
"799","Teaira McCowan was traded from the Indiana Fever to the Dallas Wings.","2022-03-08"
"800","Unique Thompson signed a Training Camp Contract with the Dallas Wings.","2022-03-07"
"801","Morgan Bertsch signed a Training Camp Contract with the Dallas Wings.","2022-03-07"
"802","Destinee Walker signed a Training Camp Contract with the Dallas Wings.","2022-03-03"
"803","Theresa Plaisance signed a Training Camp Contract with the Las Vegas Aces.","2022-03-03"
"804","The Dallas Wings renounced their rights to Imani McGee-Stafford.","2022-03-02"
"805","Sydney Colson signed a Training Camp Contract with the Las Vegas Aces.","2022-03-02"
"806","Aaliyah Wilson was waived by the Indiana Fever.","2022-03-02"
"807","Kiana Williams signed a Training Camp Contract with the Phoenix Mercury.","2022-03-01"
"808","Sydney Wiese was waived by the Washington Mystics.","2022-02-28"
"809","Haley Gorecki signed a Training Camp Contract with the Indiana Fever.","2022-02-26"
"810","Kathleen Doyle signed a Training Camp Contract with the Chicago Sky.","2022-02-25"
"811","Tina Krajisnik signed a Training Camp Contract with the Chicago Sky.","2022-02-25"
"812","Stephanie Mavunga signed a Training Camp Contract with the Washington Mystics.","2022-02-24"
"813","Lauren Manis signed a Training Camp Contract with the Seattle Storm.","2022-02-24"
"814","Maya Caldwell signed a Training Camp Contract with the Atlanta Dream.","2022-02-23"
"815","Yvonne Anderson signed a Training Camp Contract with the Connecticut Sun.","2022-02-22"
"816","Linnae Harper signed a Training Camp Contract with the Washington Mystics.","2022-02-22"
"817","Alanna Smith signed a Training Camp Contract with the Indiana Fever.","2022-02-21"
"818","Kristy Wallace signed a Rookie Scale Contract with the Atlanta Dream.","2022-02-21"
"819","Micaela Kelly signed a Training Camp Contract with the Indiana Fever.","2022-02-19"
"820","Liz Cambage signed a Contract with the Los Angeles Sparks.","2022-02-18"
"821","Natasha Mack signed a Training Camp Contract with the Minnesota Lynx.","2022-02-18"
"822","Yvonne Turner signed a Training Camp Contract with the Minnesota Lynx.","2022-02-18"
"823","Sue Bird signed a Contract with the Seattle Storm.","2022-02-18"
"824","Emma Meesseman signed a Contract with the Chicago Sky.","2022-02-18"
"825","Klara Lundquist  is out for the 2022 season due to a Personal Decision.","2022-02-17"
"826","Allie Quigley signed a Contract with the Chicago Sky.","2022-02-17"
"827","Courtney Vandersloot signed a Contract with the Chicago Sky.","2022-02-17"
"828","Kahleah Copper signed a Core Contract with the Chicago Sky.","2022-02-17"
"829","MeMe Jackson signed a Training Camp Contract with the Washington Mystics.","2022-02-17"
"830","Kalani Brown signed a Training Camp Contract with the Las Vegas Aces.","2022-02-15"
"831","Khaalia Hillsman signed a Training Camp Contract with the Atlanta Dream.","2022-02-15"
"832","N'dea Jones signed a Training Camp Contract with the Atlanta Dream.","2022-02-15"
"833","Rui Machida signed a Training Camp Contract with the Washington Mystics.","2022-02-14"
"834","Leaonna Odom signed a Training Camp Contract with the Phoenix Mercury.","2022-02-13"
"835","Rebekah Gardner signed a Training Camp Contract with the Chicago Sky.","2022-02-10"
"836","Jazmine Jones was awarded on waivers to the Indiana Fever.","2022-02-09"
"837","Cheyenne Parker was set active.","2022-02-09"
"838","Kysre Gondrezick signed a Training Camp Contract with the Chicago Sky.","2022-02-09"
"839","Kamiah Smalls signed a Training Camp Contract with the Chicago Sky.","2022-02-09"
"840","Layshia Clarendon signed a Contract with the Minnesota Lynx.","2022-02-08"
"841","Rachel Banham signed a Training Camp Contract with the Minnesota Lynx.","2022-02-08"
"842","Jordin Canada signed a Contract with the Los Angeles Sparks.","2022-02-08"
"843","Victoria Vivians signed a Training Camp Contract with the Indiana Fever.","2022-02-07"
"844","Alaina Coates signed a Training Camp Contract with the Indiana Fever.","2022-02-07"
"845","Chennedy Carter was traded from the Atlanta Dream to the Los Angeles Sparks.","2022-02-05"
"846","The exclusive negotiating rights of Li Yueru were traded from the Atlanta Dream to the Los Angeles Sparks.","2022-02-05"
"847","Erica Wheeler was traded from the Los Angeles Sparks to the Atlanta Dream.","2022-02-05"
"848","Chennedy Carter was set active.","2022-02-05"
"849","Crystal Bradford signed a Contract with the Chicago Sky.","2022-02-05"
"850","Kia Nurse signed a Contract with the Phoenix Mercury.","2022-02-05"
"851","Lindsay Allen signed a Training Camp Contract with the Indiana Fever.","2022-02-04"
"852","Emma Cannon signed a Contract with the Indiana Fever.","2022-02-04"
"853","Tina Charles signed a Contract with the Phoenix Mercury.","2022-02-04"
"854","Stephanie Talbot signed a Training Camp Contract with the Seattle Storm.","2022-02-04"
"855","Rebecca Allen signed a Contract with the New York Liberty.","2022-02-04"
"856","Jazmine Jones was waived by the New York Liberty.","2022-02-04"
"857","Leaonna Odom was waived by the New York Liberty.","2022-02-04"
"858","Diamond DeShields was traded from the Chicago Sky to the Phoenix Mercury.","2022-02-03"
"859","Katie Lou Samuelson was traded from the Seattle Storm to the Los Angeles Sparks.","2022-02-03"
"860","Bria Hartley was traded from the Phoenix Mercury to the Indiana Fever.","2022-02-03"
"861","Gabby Williams was traded from the Los Angeles Sparks to the Seattle Storm.","2022-02-03"
"862","Julie Allemand was traded from the Indiana Fever to the Chicago Sky.","2022-02-03"
"863","Julie Allemand was set active.","2022-02-03"
"864","Diamond DeShields signed a Contract with the Chicago Sky.","2022-02-03"
"865","Arike Ogunbowale signed a Contract Extension with the Dallas Wings.","2022-02-03"
"866","Stefanie Dolson signed a Contract with the New York Liberty.","2022-02-03"
"867","Monique Billings signed a Contract with the Atlanta Dream.","2022-02-03"
"868","Jennie Simms signed a Training Camp Contract with the Phoenix Mercury.","2022-02-03"
"869","Kiah Stokes signed a Contract with the Las Vegas Aces.","2022-02-03"
"870","Riquna Williams signed a Contract with the Las Vegas Aces.","2022-02-03"
"871","Courtney Williams signed a Contract with the Connecticut Sun.","2022-02-02"
"872","Angel McCoughtry signed a Contract with the Minnesota Lynx.","2022-02-02"
"873","Briann January signed a Contract with the Seattle Storm.","2022-02-02"
"874","Joyner Holmes signed a Training Camp Contract with the Connecticut Sun.","2022-02-02"
"875","Taja Cole signed a Training Camp Contract with the Connecticut Sun.","2022-02-02"
"876","A'ja Wilson signed a Contract with the Las Vegas Aces.","2022-02-02"
"877","Breanna Stewart signed a Contract with the Seattle Storm.","2022-02-02"
"878","Jonquel Jones signed a Core Contract with the Connecticut Sun.","2022-02-01"
"879","Tianna Hawkins signed a Training Camp Contract with the Washington Mystics.","2022-02-01"
"880","Shatori Walker-Kimbrough signed a Training Camp Contract with the Washington Mystics.","2022-02-01"
"881","Sylvia Fowles signed a Contract with the Minnesota Lynx.","2022-02-01"
"882","Myisha Hines-Allen signed a Contract with the Washington Mystics.","2022-02-01"
"883","Elizabeth Williams signed a Contract with the Washington Mystics.","2022-02-01"
"884","Mercedes Russell signed a Contract with the Seattle Storm.","2022-02-01"
"885","Nia Coffey signed a Contract with the Atlanta Dream.","2022-02-01"
"886","Tiffany Hayes signed a Contract with the Atlanta Dream.","2022-02-01"
"887","Lee Seul Kang signed a Training Camp Contract with the Washington Mystics.","2022-02-01"
"888","Klara Lundquist signed a Training Camp Contract with the Washington Mystics.","2022-02-01"
"889","Jewell Loyd signed a Core Contract with the Seattle Storm.","2022-02-01"
"890","Sophie Cunningham signed a Contract with the Phoenix Mercury.","2022-02-01"
"891","Kia Vaughn was traded from the Phoenix Mercury to the Atlanta Dream.","2022-01-31"
"892","Florencia Chagas  is out for the 2022 season due to a Personal Decision.","2022-01-31"
"893","Stephanie Jones signed a Training Camp Contract with the Connecticut Sun.","2022-01-28"
"894","Te'a Cooper signed a Training Camp Contract with the Los Angeles Sparks.","2022-01-20"
"895","Megan Walker was awarded on waivers to the Atlanta Dream.","2022-01-18"
"896","Gabby Williams was set active.","2022-01-18"
"897","Kysre Gondrezick was waived by the Indiana Fever.","2022-01-18"
"898","Maite Cazorla was set active.","2022-01-16"
"899","Maite Cazorla  is out for the 2022 season due to a Personal Decision.","2022-01-16"
"900","The Seattle Storm extended a Core qualifying offer to Jewell Loyd.","2022-01-14"
"901","The Las Vegas Aces renounced their rights to Clarissa Dos Santos.","2022-01-14"
"902","Paris Kea signed a Training Camp Contract with the New York Liberty.","2022-01-14"
"903","The Phoenix Mercury extended a Restricted qualifying offer to Kia Nurse.","2022-01-13"
"904","Shey Peddy signed a Training Camp Contract with the Phoenix Mercury.","2022-01-13"
"905","Megan Walker was waived by the Phoenix Mercury.","2022-01-13"
"906","Tianna Hawkins was waived by the Atlanta Dream.","2022-01-13"
"907","The Chicago Sky extended a Core qualifying offer to Kahleah Copper.","2022-01-12"
"908","The New York Liberty extended a Reserved qualifying offer to Nayo Raincock-Ekunwe.","2022-01-11"
"909","The New York Liberty extended a Reserved qualifying offer to Paris Kea.","2022-01-11"
"910","The Connecticut Sun extended a Core qualifying offer to Jonquel Jones.","2022-01-10"
"911","The Phoenix Mercury extended a Reserved qualifying offer to Shey Peddy.","2022-01-10"
"912","The Las Vegas Aces extended a Reserved qualifying offer to JiSu Park.","2022-01-07"
"913","The Las Vegas Aces extended a Restricted qualifying offer to A'ja Wilson.","2022-01-07"
"914","Luisa Geiselsoder was waived by the Dallas Wings.","2022-01-07"
"915","Chelsey Perry signed a Training Camp Contract with the Indiana Fever.","2022-01-06"
"916","Megan Gustafson signed a Training Camp Contract with the Washington Mystics.","2022-01-06"
"917","Jaylyn Agnew signed a Training Camp Contract with the Atlanta Dream.","2022-01-06"
"918","The Atlanta Dream extended a Restricted qualifying offer to Monique Billings.","2022-01-05"
"919","The Washington Mystics extended a Reserved qualifying offer to Megan Gustafson.","2022-01-05"
"920","The Washington Mystics extended a Restricted qualifying offer to Myisha Hines-Allen.","2022-01-05"
"921","The Atlanta Dream extended a Reserved qualifying offer to Jaylyn Agnew.","2022-01-05"
"922","The Seattle Storm extended a Restricted qualifying offer to Jordin Canada.","2022-01-04"
"923","The Seattle Storm extended a Restricted qualifying offer to Mercedes Russell.","2022-01-04"
"924","The Seattle Storm extended a Restricted qualifying offer to Stephanie Talbot.","2022-01-04"
"925","Beatrice Mompremier signed a Training Camp Contract with the Connecticut Sun.","2022-01-04"
"926","Lauren Cox signed a Training Camp Contract with the Los Angeles Sparks.","2022-01-04"
"927","Bridget Carleton signed a Training Camp Contract with the Minnesota Lynx.","2022-01-04"
"928","The Minnesota Lynx extended a Reserved qualifying offer to Bridget Carleton.","2022-01-03"
"929","The Minnesota Lynx extended a Reserved qualifying offer to Anna Cruz.","2022-01-03"
"930","The Indiana Fever extended a Restricted qualifying offer to Lindsay Allen.","2022-01-03"
"931","Natisha Hiedeman signed a Training Camp Contract with the Connecticut Sun.","2022-01-03"
"932","The Indiana Fever extended a Reserved qualifying offer to Bernadett Hatar.","2022-01-01"
"933","The Indiana Fever extended a Reserved qualifying offer to Chelsey Perry.","2022-01-01"
"934","The Indiana Fever extended a Reserved qualifying offer to Temi Fagbenle.","2022-01-01"
"935","The Indiana Fever extended a Reserved qualifying offer to Victoria Vivians.","2022-01-01"
"936","The Connecticut Sun extended a Reserved qualifying offer to Natisha Hiedeman.","2022-01-01"
"937","The Connecticut Sun extended a Reserved qualifying offer to Stephanie Jones.","2022-01-01"
"938","The Connecticut Sun extended a Reserved qualifying offer to Beatrice Mompremier.","2022-01-01"
"939","The Los Angeles Sparks extended a Reserved qualifying offer to Lauren Cox.","2022-01-01"
"940","The Los Angeles Sparks extended a Reserved qualifying offer to Te'a Cooper.","2022-01-01"
"941","The Chicago Sky extended a Restricted qualifying offer to Lexie Brown.","2022-01-01"
"942","The Chicago Sky extended a Restricted qualifying offer to Diamond DeShields.","2022-01-01"
"943","The New York Liberty renounced their rights to Olcay Cakir.","2021-12-31"
"944","The Los Angeles Sparks renounced their rights to Marianna Tolo.","2021-12-31"
"945","The Los Angeles Sparks renounced their rights to Aina Ayuso.","2021-12-31"
"946","Klara Lundquist is suspended for the full season.","2021-12-30"
"947","The Atlanta Dream renounced their rights to Mengran Sun.","2021-12-23"
"948","The Dallas Wings exercised their option with Bella Alarie.","2021-12-02"
"949","The Dallas Wings exercised their option with Tyasha Harris.","2021-12-02"
"950","The Dallas Wings exercised their option with Satou Sabally.","2021-12-02"
"951","The Minnesota Lynx released Jillian Alleyne.","2021-09-17"
"952","Betnijah Laney signed a Contract Amendment - Time-Off Bonus with the New York Liberty.","2021-09-17"
"953","Jillian Alleyne signed a Rest-of-Season Hardship Contract with the Minnesota Lynx.","2021-09-17"
"954","The Las Vegas Aces released Bria Holmes.","2021-09-16"
"955","Jillian Alleyne signed a 7-Day Contract (1st Contract) with the Minnesota Lynx.","2021-09-10"
"956","The Las Vegas Aces released Bria Holmes.","2021-09-09"
"957","Bria Holmes signed a 7-Day Contract (2nd Contract) with the Las Vegas Aces.","2021-09-09"
"958","The Indiana Fever released Emma Cannon.","2021-09-05"
"959","Emma Cannon signed a Rest-of-Season Hardship Contract with the Indiana Fever.","2021-09-05"
"960","Bria Holmes signed a 7-Day Contract (1st Contract) with the Las Vegas Aces.","2021-09-02"
"961","The Indiana Fever released Emma Cannon.","2021-08-29"
"962","Emma Cannon signed a 7-Day Contract (3rd Contract) with the Indiana Fever.","2021-08-29"
"963","The Washington Mystics released Megan Gustafson.","2021-08-25"
"964","Megan Gustafson signed a Rest-of-Season Contract with the Washington Mystics.","2021-08-25"
"965","Blake Dietrick signed a Rest-of-Season Contract with the Atlanta Dream.","2021-08-24"
"966","Karlie Samuelson signed a Rest-of-Season Contract with the Seattle Storm.","2021-08-23"
"967","The Los Angeles Sparks released Karlie Samuelson.","2021-08-22"
"968","The Indiana Fever released Emma Cannon.","2021-08-22"
"969","The Seattle Storm released Kiana Williams.","2021-08-22"
"970","Emma Cannon signed a 7-Day Contract (2nd Contract) with the Indiana Fever.","2021-08-22"
"971","The Washington Mystics released Megan Gustafson.","2021-08-18"
"972","The Washington Mystics released Shatori Walker-Kimbrough.","2021-08-18"
"973","The Seattle Storm released Cierra Burdick.","2021-08-18"
"974","Shatori Walker-Kimbrough signed a Rest-of-Season Contract with the Washington Mystics.","2021-08-18"
"975","Megan Gustafson signed a 7-Day Contract (3rd Contract) with the Washington Mystics.","2021-08-18"
"976","Cierra Burdick signed a Rest-of-Season Contract with the Seattle Storm.","2021-08-18"
"977","Cheyenne Parker  is out indefinitely due to Pregnancy/Childbirth.","2021-08-14"
"978","The Minnesota Lynx released Natasha Mack.","2021-08-13"
"979","Karlie Samuelson signed a 7-Day Contract (1st Contract) with the Los Angeles Sparks.","2021-08-04"
"980","The Los Angeles Sparks released Bria Holmes.","2021-08-03"
"981","The Los Angeles Sparks released Karlie Samuelson.","2021-08-03"
"982","Emma Cannon signed a 7-Day Contract (1st Contract) with the Indiana Fever.","2021-07-28"
"983","Candice Dupree signed a Rest-of-Season Contract with the Atlanta Dream.","2021-07-26"
"984","Kiana Williams signed a 7-Day Contract (1st Contract) with the Seattle Storm.","2021-07-23"
"985","The Seattle Storm released N'dea Jones.","2021-07-12"
"986","The Seattle Storm released Cierra Burdick.","2021-07-08"
"987","The Washington Mystics released Megan Gustafson.","2021-07-08"
"988","The Washington Mystics released Shatori Walker-Kimbrough.","2021-07-08"
"989","Megan Gustafson signed a 7-Day Contract (2nd Contract) with the Washington Mystics.","2021-07-08"
"990","Shatori Walker-Kimbrough signed a 7-Day Contract (2nd Contract) with the Washington Mystics.","2021-07-08"
"991","Cierra Burdick signed a 7-Day Contract (2nd Contract) with the Seattle Storm.","2021-07-08"
"992","Natasha Mack signed a 7-Day Contract (1st Contract) with the Minnesota Lynx.","2021-07-06"
"993","Chennedy Carter is temporarily suspended.","2021-07-05"
"994","N'dea Jones signed a 7-Day Contract (1st Contract) with the Seattle Storm.","2021-07-05"
"995","Rachel Banham signed a Rest-of-Season Contract with the Minnesota Lynx.","2021-07-05"
"996","Layshia Clarendon signed a Rest-of-Season Contract with the Minnesota Lynx.","2021-07-02"
"997","Kiah Stokes signed a Rest-of-Season Contract with the Las Vegas Aces.","2021-07-02"
"998","Candice Dupree signed a Contract Amendment - Divorce with the Seattle Storm.","2021-07-02"
"999","Candice Dupree was waived by the Seattle Storm.","2021-07-02"
"1000","Shatori Walker-Kimbrough signed a 7-Day Contract (1st Contract) with the Washington Mystics.","2021-07-01"
"1001","Megan Gustafson signed a 7-Day Contract (1st Contract) with the Washington Mystics.","2021-07-01"
"1002","Reshanda Gray signed a Rest-of-Season Contract with the New York Liberty.","2021-07-01"
"1003","Cierra Burdick signed a 7-Day Contract (1st Contract) with the Seattle Storm.","2021-07-01"
"1004","Astou Ndour-Fall was set active.","2021-06-30"
"1005","The Minnesota Lynx released Layshia Clarendon.","2021-06-30"
"1006","Lauren Cox signed a Rest-of-Season Contract with the Los Angeles Sparks.","2021-06-30"
"1007","Karlie Samuelson signed a Rest-of-Season Hardship Contract with the Los Angeles Sparks.","2021-06-30"
"1008","Kiah Stokes signed a Contract Amendment - Divorce with the New York Liberty.","2021-06-30"
"1009","Bria Holmes signed a Rest-of-Season Hardship Contract with the Los Angeles Sparks.","2021-06-30"
"1010","Kiah Stokes was waived by the New York Liberty.","2021-06-30"
"1011","Jonquel Jones was set active.","2021-06-29"
"1012","The Los Angeles Sparks released Karlie Samuelson.","2021-06-29"
"1013","The Los Angeles Sparks released Kristine Anigwe.","2021-06-28"
"1014","Chelsey Perry signed a Rest-of-Season Contract with the Indiana Fever.","2021-06-28"
"1015","Megan Gustafson was waived by the Washington Mystics.","2021-06-28"
"1016","Kiara Leslie was waived by the Washington Mystics.","2021-06-28"
"1017","Stella Johnson was waived by the Washington Mystics.","2021-06-28"
"1018","Joyner Holmes was waived by the Las Vegas Aces.","2021-06-28"
"1019","Kiana Williams was waived by the Seattle Storm.","2021-06-28"
"1020","Rachel Banham was waived by the Minnesota Lynx.","2021-06-28"
"1021","Bria Holmes was waived by the Los Angeles Sparks.","2021-06-28"
"1022","The Connecticut Sun released Emma Cannon.","2021-06-27"
"1023","Lauren Cox was waived by the Indiana Fever.","2021-06-27"
"1024","The Phoenix Mercury released Haley Gorecki.","2021-06-23"
"1025","Kiah Stokes was set active.","2021-06-22"
"1026","The New York Liberty released Reshanda Gray.","2021-06-21"
"1027","Layshia Clarendon signed a Rest-of-Season Hardship Contract with the Minnesota Lynx.","2021-06-21"
"1028","Megan Gustafson signed a Rest-of-Season Contract with the Washington Mystics.","2021-06-21"
"1029","The Minnesota Lynx released Layshia Clarendon.","2021-06-20"
"1030","The Minnesota Lynx released Cierra Burdick.","2021-06-20"
"1031","Cierra Burdick signed a Rest-of-Season Hardship Contract with the Minnesota Lynx.","2021-06-15"
"1032","Lexie Brown signed a Rest-of-Season Contract with the Chicago Sky.","2021-06-14"
"1033","Layshia Clarendon signed a Rest-of-Season Hardship Contract with the Minnesota Lynx.","2021-06-12"
"1034","The Minnesota Lynx released Layshia Clarendon.","2021-06-11"
"1035","Natasha Mack was waived by the Chicago Sky.","2021-06-10"
"1036","Natasha Mack signed a Rest-of-Season Contract with the Chicago Sky.","2021-06-09"
"1037","Astou Ndour-Fall is temporarily suspended.","2021-06-08"
"1038","Sierra Campisano was waived by the Chicago Sky.","2021-06-08"
"1039","Emma Cannon signed a Rest-of-Season Hardship Contract with the Connecticut Sun.","2021-06-07"
"1040","Reshanda Gray signed a Rest-of-Season Hardship Contract with the New York Liberty.","2021-06-07"
"1041","Sierra Campisano signed a Rest-of-Season Contract with the Chicago Sky.","2021-06-07"
"1042","Kiah Stokes is temporarily suspended.","2021-06-06"
"1043","Jonquel Jones is temporarily suspended.","2021-06-06"
"1044","Karlie Samuelson signed a Rest-of-Season Hardship Contract with the Los Angeles Sparks.","2021-06-05"
"1045","Kristine Anigwe signed a Rest-of-Season Hardship Contract with the Los Angeles Sparks.","2021-06-05"
"1046","Shyla Heal was traded from the Chicago Sky to the Dallas Wings.","2021-06-02"
"1047","Dana Evans was traded from the Dallas Wings to the Chicago Sky.","2021-06-02"
"1048","Katie Lou Samuelson was set active.","2021-06-02"
"1049","Allisha Gray was set active.","2021-06-02"
"1050","Satou Sabally was set active.","2021-06-02"
"1051","Stefanie Dolson was set active.","2021-06-02"
"1052","The Chicago Sky released Lexie Brown.","2021-06-02"
"1053","Kristine Anigwe was waived by the Dallas Wings.","2021-06-02"
"1054","Stephanie Watts was waived by the Chicago Sky.","2021-06-02"
"1055","Shyla Heal was waived by the Dallas Wings.","2021-06-02"
"1056","Lexie Brown signed a Rest-of-Season Hardship Contract with the Chicago Sky.","2021-06-01"
"1057","Layshia Clarendon signed a Rest-of-Season Hardship Contract with the Minnesota Lynx.","2021-05-30"
"1058","The Chicago Sky released Natasha Mack.","2021-05-29"
"1059","Joyner Holmes signed a Rest-of-Season Contract with the Las Vegas Aces.","2021-05-29"
"1060","Emma Cannon was waived by the Las Vegas Aces.","2021-05-29"
"1061","Mikiah Herbert Harrigan  is out indefinitely due to Pregnancy/Childbirth.","2021-05-27"
"1062","The Connecticut Sun released Shatori Walker-Kimbrough.","2021-05-27"
"1063","Haley Gorecki signed a Rest-of-Season Hardship Contract with the Phoenix Mercury.","2021-05-27"
"1064","Kia Vaughn was set active.","2021-05-26"
"1065","Awak Kuier was set active.","2021-05-26"
"1066","The Phoenix Mercury released Cierra Burdick.","2021-05-26"
"1067","Kalani Brown was waived by the Atlanta Dream.","2021-05-26"
"1068","Natasha Mack signed a Rest-of-Season Hardship Contract with the Chicago Sky.","2021-05-23"
"1069","Myisha Hines-Allen was set active.","2021-05-22"
"1070","Natasha Howard was set active.","2021-05-22"
"1071","The Chicago Sky released Natasha Mack.","2021-05-22"
"1072","Jillian Alleyne was waived by the Washington Mystics.","2021-05-22"
"1073","Epiphanny Prince was set active.","2021-05-21"
"1074","Napheesa Collier was set active.","2021-05-21"
"1075","Shyla Heal was set active.","2021-05-21"
